Year,Month,Day,Hour,Toronto,Ottawa,Bruce,Difference,Holiday & Weekends,Price_Tor,Price_Ott,Price_Bruce,"
",
2016,3,28,1,4239,599,69,-13,0,-1.5,-1.5,-1.46,,
2016,3,28,2,4132,577,67,-26,0,-1.79,-1.79,-1.74,,
2016,3,28,3,4102,562,62,-18,0,-3,-3,-2.91,,
2016,3,28,4,4139,575,65,-20,0,-3,-3,-2.91,,
2016,3,28,5,4339,589,72,38,0,-2.25,-2.25,-2.18,,
2016,3,28,6,4787,699,78,-57,0,-0.5,-0.5,-0.49,,
2016,3,28,7,5288,734,83,20,0,0,0,0,,
2016,3,28,8,5640,784,95,9,0,0,0,0,,
2016,3,28,9,5860,822,91,67,0,0,0,0,,
2016,3,28,10,6030,862,94,132,0,0,0,0,,
2016,3,28,11,6194,873,90,65,0,0,0,0,,
2016,3,28,12,6247,862,89,89,0,0,0,0,,
2016,3,28,13,6294,888,99,111,0,0,0,0,,
2016,3,28,14,6242,891,96,113,0,0,0,0,,
2016,3,28,15,6197,930,103,133,0,-1.25,-1.25,-1.21,,
2016,3,28,16,6191,929,91,106,0,-0.27,-0.27,-0.26,,
2016,3,28,17,6247,959,96,15,0,0,0,0,,
2016,3,28,18,6222,971,92,11,0,0,0,0,,
2016,3,28,19,6289,936,101,100,0,0.47,0.47,0.46,,
2016,3,28,20,6415,934,85,82,0,0,0,0,,
2016,3,28,21,6189,844,80,86,0,0.47,0.47,0.46,,
2016,3,28,22,5755,753,80,123,0,0.97,0.97,0.94,,
2016,3,28,23,5302,715,85,66,0,-2.61,-2.61,-2.53,,
2016,3,28,24,4926,694,74,148,0,-3,-3,-2.91,,
2016,3,29,1,4739,650,70,60,0,-1.81,-1.81,-1.76,,
2016,3,29,2,4630,643,73,-30,0,-2.02,-2.02,-1.96,,
2016,3,29,3,4583,633,72,-22,0,-3,-3,-2.91,,
2016,3,29,4,4625,660,72,-12,0,-1.79,-1.79,-1.74,,
2016,3,29,5,4843,731,73,-15,0,-1,-1,-0.97,,
2016,3,29,6,5420,854,90,-121,0,4.47,4.47,4.34,,
2016,3,29,7,5966,947,91,-17,0,4.35,4.35,4.22,,
2016,3,29,8,6117,925,87,-3,0,-1.27,-1.27,-1.23,,
2016,3,29,9,6152,889,86,-147,0,-3.62,-3.62,-3.51,,
2016,3,29,10,6186,839,87,-11,0,-3,-3,-2.91,,
2016,3,29,11,6195,826,88,58,0,-2.5,-2.5,-2.43,,
2016,3,29,12,6160,818,84,60,0,3.43,3.43,3.33,,
2016,3,29,13,6129,792,70,-46,0,6,6,5.82,,
2016,3,29,14,6059,781,81,-43,0,13.8,13.8,13.39,,
2016,3,29,15,6003,801,84,-42,0,7.46,7.46,7.24,,
2016,3,29,16,5987,832,87,-45,0,0.63,0.63,0.61,,
2016,3,29,17,6002,886,87,118,0,0.41,0.41,0.39,,
2016,3,29,18,5988,923,84,-3,0,4.21,4.21,4.09,,
2016,3,29,19,6100,986,84,100,0,10.79,10.79,10.48,,
2016,3,29,20,6360,1031,87,-11,0,6.78,6.78,6.58,,
2016,3,29,21,6151,989,86,-55,0,3.51,3.51,3.41,,
