Year,Month,Day,Hour,Temperature,Dew Point,Relative Humidity,Wind Speed,Toronto,Holiday & Weekends,Scored Labels,Diff,Abs Diff
-1.49773018,0.452550009,1.399524808,1.227782471,1.433105213,1.649021839,0.449575925,-0.818179146,8032,0,7609.835938,422.1640625,422.1640625
-1.01156852,0.739190679,-0.988975758,0.505560205,1.167887983,0.539569543,-1.644090808,-1.467033343,5748,0,6369.651855,-621.6518555,621.6518555
-0.039245199,-0.407372001,-1.10271388,-1.227773233,0.089337915,0.017474345,-0.350943708,1.02024108,4233,0,4142.671387,90.32861328,90.32861328
1.419239782,-0.407372001,-0.07907078,0.938893565,0.690496969,0.483630772,-0.720414308,1.236525813,5727,0,5586.583496,140.4165039,140.4165039
-0.525406859,0.739190679,0.830834197,-0.938884327,0.460642037,0.987079713,1.742723024,-1.358890977,5049,0,4731.824219,317.1757813,317.1757813
1.905401442,-1.553934681,-1.330190124,1.372226924,-0.759357221,-0.476651468,0.942203391,-0.061182582,5604,0,5881.973145,-277.9731445,277.9731445
-1.01156852,-1.267294011,-0.420285147,1.083338018,-1.51080604,-1.539488122,-0.166208408,-0.926321512,7602,0,7459.335938,142.6640625,142.6640625
0.446916461,1.025831349,-0.07907078,-0.505550967,0.858467882,1.285419826,1.250095558,-0.277467314,4722,0,5508.527344,-786.5273438,786.5273438
-0.039245199,-0.120731331,-0.534023269,-0.794439874,0.48716376,0.912494684,1.311673991,-1.467033343,4378,0,5238.942383,-860.9423828,860.9423828
-1.49773018,1.312472019,1.399524808,-0.072217608,-1.201385938,-1.399641193,-0.720414308,0.15510215,6854,0,6553.661621,300.3383789,300.3383789
0.446916461,1.312472019,-0.534023269,0.938893565,-0.83892239,-0.961454152,-0.535679008,-0.601894413,6242,0,6548.53125,-306.53125,306.53125
-0.525406859,-0.407372001,-1.330190124,-0.794439874,0.504844908,0.278521944,-0.781992742,-1.034463878,5331,0,5129.397949,201.6020508,201.6020508
-1.01156852,0.739190679,-1.557666369,0.216671299,1.318177747,1.714283739,1.065360258,-0.710036779,7559,0,7302.947266,256.0527344,256.0527344
-0.039245199,1.025831349,0.034667342,1.227782471,0.840786733,1.145572898,0.819046525,-1.25074861,5397,0,5833.435059,-436.4350586,436.4350586
-1.49773018,-0.120731331,-0.420285147,0.650004658,1.106003963,0.949787199,-0.597257442,-0.385609681,6900,0,6545.69873,354.3012695,354.3012695
0.933078121,1.599112689,-0.192808903,0.794449111,-0.343850228,0.082736244,1.434830858,-1.034463878,6674,0,6426.988281,247.0117188,247.0117188
0.933078121,0.452550009,0.717096075,0.072226845,1.106003963,1.173542284,0.018526892,0.803956348,6770,0,6525.959473,244.0405273,244.0405273
-0.039245199,-0.120731331,-0.647761391,-0.505550967,0.672815821,0.24122943,-1.274620208,-1.034463878,5935,0,5557.746094,377.2539063,377.2539063
-1.01156852,-1.267294011,-1.443928246,1.516671378,-1.979356479,-1.781889464,0.757468091,-0.710036779,6583,0,6623.236328,-40.23632813,40.23632813
-1.49773018,0.165909339,0.148405464,1.227782471,1.945858525,1.676991225,-0.843571175,-0.061182582,9639,0,9117.137695,521.8623047,521.8623047
-0.525406859,1.599112689,0.830834197,-0.361106514,-0.140517018,0.343783844,1.681144591,-0.710036779,6007,0,6075.969238,-68.96923828,68.96923828
0.446916461,0.165909339,-0.420285147,-1.227773233,1.035279368,1.443913011,1.188517124,-1.467033343,4909,0,4783.425781,125.5742188,125.5742188
1.419239782,1.025831349,-1.671404491,-1.227773233,0.646294098,1.061664741,1.250095558,0.15510215,4131,0,4024.046631,106.9533691,106.9533691
1.419239782,-0.980653341,-0.875237636,-1.661106593,-1.952834756,-2.070906448,-0.474100575,-0.818179146,5635,0,5416.664063,218.3359375,218.3359375
-0.525406859,0.165909339,-1.330190124,-0.794439874,0.451801462,0.464984515,-0.104629975,-0.926321512,4173,0,5077.840332,-904.840332,904.840332
1.419239782,0.739190679,1.285786686,1.661115831,0.884989605,0.987079713,0.141683758,-0.277467314,4526,0,4808.283203,-282.2832031,282.2832031
0.933078121,-1.267294011,-0.306547025,-0.794439874,-1.846747864,-1.735273821,0.387997491,-0.493752047,6092,0,5603.963379,488.0366211,488.0366211
-0.525406859,-1.553934681,-0.534023269,-0.505550967,-1.263269958,-1.213178623,0.080105325,-0.493752047,5622,0,6332.963867,-710.9638672,710.9638672
1.905401442,-1.553934681,0.148405464,-0.649995421,-2.085443371,-2.117522091,-0.166208408,-0.818179146,6478,0,6278.24707,199.7529297,199.7529297
-0.525406859,1.025831349,0.48961983,-0.938884327,0.434120314,0.008151216,-1.274620208,-0.277467314,5070,0,4587.783203,482.2167969,482.2167969
-1.01156852,1.312472019,-1.216452002,1.372226924,-0.202401038,-0.178311355,-0.043051542,-1.358890977,6169,0,5884.79248,284.2075195,284.2075195
0.933078121,-1.267294011,-0.420285147,1.372226924,-1.546168337,-1.567457507,-0.166208408,-0.710036779,6674,0,6637.506836,36.49316406,36.49316406
-1.49773018,1.025831349,-1.443928246,0.361115752,1.061801091,-0.010495041,-2.383032008,-0.385609681,6608,0,6170.695313,437.3046875,437.3046875
-1.01156852,1.599112689,-0.534023269,0.216671299,-1.201385938,-0.84957661,1.311673991,-0.493752047,7216,0,6969.877441,246.1225586,246.1225586
-0.039245199,-0.980653341,-1.10271388,0.361115752,-0.556024012,-0.793637838,-0.843571175,0.046959784,5445,0,6248.567871,-803.5678711,803.5678711
1.419239782,-1.267294011,-0.07907078,1.227782471,-1.166023641,-1.203855494,-0.227786842,1.236525813,6593,0,6579.123047,13.87695313,13.87695313
0.933078121,1.312472019,0.944572319,0.072226845,-0.582545735,-0.355450797,0.695889658,0.371386883,6149,0,6088.217285,60.78271484,60.78271484
0.446916461,-1.267294011,-1.557666369,0.505560205,-1.210226512,-1.558134379,-1.151463341,1.669095278,6715,0,6481.126953,233.8730469,233.8730469
0.446916461,0.452550009,-0.07907078,-1.661106593,0.911511328,1.350681726,1.250095558,-1.575175709,5009,0,4821.839844,187.1601563,187.1601563
1.419239782,-0.980653341,-1.671404491,1.083338018,-1.033415026,-0.998746666,0.018526892,-1.142606244,6699,0,6442.992676,256.0073242,256.0073242
0.933078121,-0.407372001,1.172048564,-1.08332878,0.867308456,0.688739599,-0.658835875,-0.385609681,4362,0,4511.775391,-149.7753906,149.7753906
0.446916461,0.165909339,-0.192808903,1.083338018,1.167887983,1.164219155,-0.166208408,0.479529249,6403,0,6484.797363,-81.79736328,81.79736328
-0.039245199,-0.120731331,0.48961983,1.661115831,1.052960517,0.455661386,-1.582512375,1.560952911,5844,0,5315.851074,528.1489258,528.1489258
-1.49773018,-0.407372001,0.375881708,0.072226845,1.044119943,1.108280384,0.018526892,-0.169324948,5023,0,6162.778809,-1139.778809,1139.778809
0.933078121,1.312472019,1.51326293,1.661115831,-0.750516647,-0.681760296,0.141683758,-1.358890977,5452,0,5101.674316,350.3256836,350.3256836
-0.039245199,-0.407372001,-0.420285147,0.794449111,0.770062138,0.250552558,-1.459355508,-0.169324948,6010,0,5622.522949,387.4770508,387.4770508
-1.49773018,-0.980653341,1.740739174,1.661115831,-0.228922761,0.166644401,1.311673991,0.046959784,4549,0,4907.124023,-358.1240234,358.1240234
-1.49773018,-0.407372001,-1.330190124,1.083338018,0.884989605,-0.094403198,-2.259875141,-0.818179146,5277,0,5694.741699,-417.7416992,417.7416992
-0.525406859,0.452550009,-1.443928246,1.661115831,0.911511328,0.912494684,-0.166208408,-0.710036779,4999,1,4787.072754,211.9272461,211.9272461
-1.01156852,-1.267294011,-1.671404491,1.516671378,-0.759357221,-0.290188897,1.742723024,-1.25074861,5966,0,5909.740234,56.25976563,56.25976563
-1.49773018,-0.120731331,0.375881708,-1.661106593,0.363395719,0.362430101,-0.166208408,0.695813982,4578,0,4404.67334,173.3266602,173.3266602
-1.49773018,-0.120731331,0.262143586,0.216671299,0.999917071,0.464984515,-1.459355508,-1.358890977,6810,0,6222.166504,587.8334961,587.8334961
-1.01156852,1.599112689,0.148405464,0.505560205,-0.529502289,-0.27154264,0.819046525,1.669095278,6805,0,6535.193359,269.8066406,269.8066406
1.419239782,1.599112689,-0.07907078,-0.072217608,-0.865444113,-0.905515381,-0.227786842,2.858661306,5686,0,6364.13916,-678.1391602,678.1391602
1.419239782,1.312472019,-0.875237636,-1.372217687,-1.0422556,-0.840253481,0.634311225,-0.818179146,4732,0,4656.104004,75.89599609,75.89599609
-0.039245199,1.025831349,0.034667342,1.372226924,0.796583861,1.173542284,1.065360258,-1.25074861,5049,0,5454.047852,-405.0478516,405.0478516
-1.01156852,-0.120731331,1.627001052,1.516671378,1.636438423,1.667668096,-0.104629975,0.263244517,6853,1,6970.329102,-117.3291016,117.3291016
-1.01156852,1.025831349,0.034667342,0.938893565,0.584410077,0.987079713,1.188517124,1.128383446,6544,0,6127.740723,416.2592773,416.2592773
-0.039245199,1.312472019,1.627001052,0.794449111,0.115859638,0.586185186,1.557987724,-0.493752047,6719,0,6376.157227,342.8427734,342.8427734
0.446916461,1.025831349,0.034667342,0.938893565,-0.122835869,-0.458005211,-1.089884908,-0.061182582,6201,0,5792.57959,408.4204102,408.4204102
-1.01156852,0.739190679,1.399524808,-1.08332878,0.460642037,0.716708985,0.695889658,-0.926321512,3944,0,4347.913574,-403.9135742,403.9135742
-0.525406859,0.739190679,0.830834197,1.661115831,0.743540415,0.921817813,0.387997491,-0.926321512,4884,0,4801.277832,82.72216797,82.72216797
0.446916461,-1.553934681,1.51326293,1.516671378,-1.342835127,-1.455579965,-0.474100575,0.046959784,5719,0,6080.525391,-361.5253906,361.5253906
-1.49773018,0.452550009,-0.306547025,-1.51666214,0.805424436,1.25745044,1.373252424,-0.926321512,4671,0,4553.448242,117.5517578,117.5517578
0.933078121,-0.694012671,-1.330190124,-0.216662061,-0.441096545,-0.374097054,0.080105325,2.642376574,6200,0,6012.564453,187.4355469,187.4355469
-0.039245199,0.452550009,-1.443928246,0.938893565,1.662960146,1.015049098,-1.644090808,-0.493752047,8352,0,7679.992188,672.0078125,672.0078125
1.419239782,0.165909339,0.148405464,1.516671378,1.388902342,1.509174911,0.203262191,0.15510215,6721,0,6820.435059,-99.43505859,99.43505859
-1.49773018,0.452550009,-0.306547025,1.372226924,0.407598591,0.520923286,0.203262191,0.046959784,5693,0,5491.174805,201.8251953,201.8251953
-0.525406859,-0.407372001,0.48961983,1.661115831,0.053975617,-0.840253481,-2.198296708,-0.493752047,4673,0,4601.111328,71.88867188,71.88867188
-0.039245199,1.599112689,0.48961983,-1.227773233,-1.63457408,-1.660688793,-0.166208408,-0.818179146,5205,0,5163.791016,41.20898438,41.20898438
1.419239782,0.739190679,0.830834197,-0.794439874,1.167887983,1.434589883,0.634311225,-0.169324948,6158,0,5465.480957,692.519043,692.519043
-1.49773018,-0.980653341,0.944572319,1.516671378,-0.723994924,-0.737699067,-0.166208408,-0.601894413,5224,0,5474.416992,-250.4169922,250.4169922
0.933078121,-0.694012671,-1.443928246,1.372226924,-0.51182114,-0.113049455,1.373252424,0.263244517,5756,0,5715.489258,40.51074219,40.51074219
0.933078121,-0.980653341,0.944572319,1.661115831,-1.139501918,-1.893767006,-2.075139841,0.695813982,4956,0,5195.102051,-239.1020508,239.1020508
-0.525406859,-1.267294011,-0.420285147,1.372226924,-2.226892561,-2.229399633,-0.043051542,0.263244517,7326,0,7271.874023,54.12597656,54.12597656
-0.039245199,0.165909339,1.627001052,0.361115752,1.521510957,0.94046407,-1.520933941,0.695813982,6480,0,7322.61084,-842.6108398,842.6108398
-1.49773018,-0.407372001,0.375881708,-0.361106514,0.725859267,0.800617142,0.080105325,-0.818179146,4763,0,5810.680176,-1047.680176,1047.680176
0.446916461,-1.267294011,-0.988975758,-0.361106514,-0.803560093,-0.700406553,0.264840625,1.128383446,6566,0,6163.482422,402.5175781,402.5175781
0.933078121,-1.553934681,-1.10271388,-1.08332878,-2.730805298,-2.770141089,-0.166208408,-0.818179146,5350,0,5436.956055,-86.95605469,86.95605469
0.446916461,0.165909339,-0.306547025,0.938893565,0.770062138,1.07098787,0.819046525,-0.061182582,6058,0,5908.800781,149.1992188,149.1992188
-0.039245199,-0.694012671,-0.306547025,-1.51666214,-0.874284688,-0.858899738,-0.043051542,-1.25074861,4724,0,4622.064453,101.9355469,101.9355469
-1.01156852,-0.694012671,-0.534023269,-1.372217687,-0.18471989,0.101382501,0.880624958,-0.277467314,4356,0,4329.746582,26.25341797,26.25341797
0.933078121,1.025831349,0.944572319,0.361115752,-0.396893674,-0.355450797,0.018526892,0.912098714,6061,0,5888.975098,172.0249023,172.0249023
-0.039245199,0.165909339,-0.07907078,-0.216662061,1.565713828,1.276096698,-0.905149608,1.236525813,7982,0,7541.66748,440.3325195,440.3325195
-1.49773018,-0.120731331,-0.761499513,-1.51666214,0.363395719,0.744678371,1.188517124,-1.034463878,3997,0,4248.506836,-251.5068359,251.5068359
-0.525406859,0.165909339,-0.875237636,1.227782471,0.831946159,0.632800828,-0.720414308,-1.25074861,6281,0,6018.968262,262.0317383,262.0317383
-0.039245199,-0.980653341,0.375881708,1.083338018,-0.909646985,-1.194532366,-0.966728041,-0.818179146,5737,0,6425.081543,-688.081543,688.081543
-1.01156852,-1.267294011,-0.534023269,0.072226845,-1.722979824,-1.977675163,-0.905149608,0.371386883,7326,0,7160.781738,165.2182617,165.2182617
-0.039245199,1.599112689,-0.534023269,-1.51666214,-1.298632256,-1.110624209,0.634311225,-0.061182582,4926,0,5146.148926,-220.1489258,220.1489258
-0.039245199,-0.407372001,-0.647761391,1.661115831,0.071656766,-0.551236496,-1.705669241,-1.25074861,4589,0,4649.367676,-60.36767578,60.36767578
-0.039245199,1.312472019,-1.10271388,-0.649995421,-0.202401038,-0.047787555,0.387997491,-0.061182582,4344,0,5436.678223,-1092.678223,1092.678223
-0.525406859,-0.407372001,-0.647761391,0.361115752,1.450786362,1.499851782,-0.043051542,-1.25074861,5928,0,6670.034668,-742.034668,742.034668
1.419239782,-0.407372001,-1.10271388,1.227782471,0.681656395,0.763324628,0.080105325,-1.034463878,5654,0,5586.391113,67.60888672,67.60888672
0.933078121,-0.120731331,1.627001052,-1.51666214,1.353540044,1.434589883,0.080105325,0.046959784,5375,0,5299.54541,75.45458984,75.45458984
-1.01156852,1.025831349,0.603357953,0.505560205,-0.105154721,0.306491329,1.373252424,1.236525813,6433,0,6196.914551,236.0854492,236.0854492
0.933078121,-0.120731331,0.262143586,0.938893565,1.760206464,1.593083068,-0.597257442,1.669095278,8231,0,7782.275391,448.7246094,448.7246094
-0.039245199,0.452550009,0.48961983,-1.661106593,1.291656024,1.611729325,0.819046525,-1.25074861,5718,0,5707.795898,10.20410156,10.20410156
-0.525406859,-0.694012671,0.603357953,1.516671378,-0.379212525,-0.047787555,1.065360258,-1.034463878,5218,0,5012.670898,205.3291016,205.3291016
-1.49773018,1.599112689,-0.988975758,0.216671299,-0.98037158,-1.455579965,-1.459355508,1.669095278,6248,0,6661.86084,-413.8608398,413.8608398
0.933078121,1.025831349,0.375881708,-0.794439874,-0.228922761,-0.290188897,-0.289365275,0.263244517,5621,0,5176.598145,444.4018555,444.4018555
0.933078121,1.025831349,-1.443928246,0.072226845,0.496004334,0.781970885,0.819046525,-0.926321512,5985,0,5682.73877,302.2612305,302.2612305
