\\Hourly Nodal Prices Report,,,,,,,,,,,,,,,,
\\Created at 2020-02-28 08:01:10,,,,,,,,,,,,,,,,
\\For 2020,,,,,,,,,,,,,,,,
Zones,,Reference,North West,North West,North West,North East,North East,North East,Ottawa,East,Toronto,Essa,Bruce,South West,Niagara,West
Date,Hour,Richview,Atikokan,Pineportage,Thunderbay,Andrews,Canyon,NPIroqfalls,TAOHSC,Saunders,Darlington,Desjoachims,BruceB,GerdauCam,BECK2,Greenfield
2020-01-19,18,14.25,12.14,6.52,12.29,13.20,13.84,13.57,14.25,14.11,14.25,14.11,13.84,14.25,13.97,14.25
2020-01-19,19,6.20,5.21,5.08,5.34,5.74,6.01,5.90,6.20,6.13,6.20,6.13,6.01,6.20,6.07,6.20
2020-01-19,20,13.05,11.05,6.58,11.25,12.08,12.67,12.43,13.05,12.92,13.05,12.92,12.67,13.05,12.79,13.05
2020-01-19,21,18.56,15.78,6.65,16.00,17.18,18.02,17.68,18.56,18.38,18.56,18.38,18.02,18.56,18.20,18.56
2020-01-19,22,16.33,13.86,6.65,14.08,15.12,15.85,15.55,16.33,16.17,16.33,16.17,15.85,16.33,16.01,16.33
2020-01-19,23,14.11,11.96,6.52,12.16,13.06,13.69,13.43,14.11,13.97,14.11,13.97,13.69,14.11,13.83,14.11
2020-01-19,24,13.63,11.55,6.65,11.75,12.62,13.23,12.98,13.63,13.49,13.63,13.49,13.23,13.63,13.36,13.63
2020-01-20,1,13.69,11.50,11.22,11.80,12.68,13.29,13.04,13.69,13.56,13.69,13.56,13.29,13.69,13.42,13.69
2020-01-20,2,16.68,14.02,13.67,14.38,15.44,16.19,15.89,16.68,16.51,16.68,16.51,16.19,16.68,16.35,16.68
2020-01-20,3,13.61,11.44,11.15,11.73,12.60,13.21,12.96,13.61,13.47,13.61,13.47,13.21,13.61,13.34,13.61
2020-01-20,4,19.67,16.53,16.13,16.96,18.21,19.10,18.74,19.67,19.48,19.67,19.48,19.10,19.67,19.29,19.67
2020-01-20,5,14.60,12.27,11.97,12.59,13.52,14.18,13.91,14.60,14.46,14.60,14.46,14.18,14.60,14.31,14.60
2020-01-20,6,15.16,12.74,12.43,13.07,14.04,14.72,14.44,15.16,15.01,15.16,15.01,14.72,15.16,14.86,15.16
2020-01-20,7,15.49,13.13,6.58,13.35,14.34,15.04,14.75,15.49,15.33,15.49,15.33,15.04,15.49,15.18,15.49
2020-01-20,8,15.65,13.15,5.76,13.49,14.49,15.19,14.90,15.65,15.49,15.65,15.49,15.19,15.65,15.34,15.65
