Year,Month,Day,Hour,Temperature,Dew Point,Relative Humidity,Wind Speed,Toronto,Scored Labels
2014,3,1,6,-1.431240871,-1.688658178,-0.905149608,-1.358890977,-0.350569077,-0.112803459
2019,10,12,6,0.354555145,0.884525299,1.804301458,-0.926321512,-1.443822835,-0.914571285
2017,1,1,21,-0.856603539,-0.858899738,-0.104629975,-1.142606244,-0.125778676,0.325269699
2017,2,9,11,-1.537327763,-1.884443878,-1.151463341,-0.169324948,0.834779428,0.757171631
2014,11,19,3,-1.528487188,-1.390318065,0.449575925,0.587671615,-0.629824113,-0.885346413
2018,1,30,10,-1.714139249,-1.744596949,-0.166208408,0.803956348,0.766451068,0.936994076
2015,8,26,8,0.646294098,0.837909656,0.449575925,-0.277467314,0.327763192,-0.11431551
2016,10,8,13,0.734699841,0.325137586,-1.213041775,1.452810545,-0.589223204,-0.005926609
2014,10,20,0,-0.255444484,-0.122372583,0.326419058,-1.25074861,-1.508190131,-1.287502289
2015,8,9,14,1.309337173,0.828586528,-1.336198641,-0.169324948,0.215863124,0.828896523
2014,2,27,11,-1.873269587,-2.089552705,-0.781992742,2.75051894,1.522024091,1.123819828
2019,8,21,16,1.81324991,1.415943626,-1.151463341,0.479529249,2.748963771,2.13439703
2019,4,29,3,-0.688632627,-0.914838509,-0.781992742,-1.358890977,-1.536907847,-1.403677464
2020,1,2,5,-0.582545735,-0.346127668,0.695889658,0.587671615,-1.268545738,-0.689627647
2017,11,19,12,-0.458777694,-0.579205882,-0.535679008,2.426091841,-0.383247858,0.16030407
2013,11,20,8,-1.077617897,-0.896192252,0.572732791,-0.926321512,0.62682355,0.185671329
2014,2,26,21,-1.802544993,-1.828505106,-0.166208408,0.046959784,1.435870941,1.11442852
2019,8,30,9,1.035279368,0.949787199,-0.412522142,-0.818179146,0.715947497,0.337066174
2018,1,12,8,0.186584232,0.698062728,1.681144591,-0.818179146,0.115846249,-0.217732906
2014,4,5,3,-0.564864586,-0.40206644,0.449575925,2.317949475,-1.244779352,-1.161346436
2018,8,2,4,0.955714199,1.350681726,1.126938691,-0.818179146,-0.832828661,-0.98079586
2015,5,6,6,0.071656766,0.353106972,0.819046525,-1.358890977,-0.29412391,-0.785084724
2019,3,1,20,-1.077617897,-1.045362309,0.018526892,-1.25074861,0.815964372,0.453285217
2013,6,26,22,1.34469947,1.574436811,0.511154358,-1.358890977,1.197216815,0.690407276
2019,9,3,16,1.070641666,1.369327983,0.757468091,0.263244517,0.675346588,0.539046764
2019,3,12,4,-0.989212154,-1.026716052,-0.227786842,1.669095278,-0.677356885,-0.85367012
2013,3,3,14,-1.183704789,-1.082654823,0.264840625,-0.169324948,0.150505562,0.990100861
2015,5,19,23,-0.281966207,-0.355450797,-0.350943708,2.101664742,-1.116044761,-1.029598713
2017,11,13,10,-0.485299417,-0.159665098,1.065360258,-0.818179146,0.532748271,0.167933464
2015,4,10,2,-0.007908403,0.502277029,1.742723024,-0.385609681,-1.255672279,-1.558285713
2020,1,18,5,-1.316313404,-1.23182488,0.203262191,0.15510215,-0.705084336,-0.395648479
2019,12,14,4,-0.600226883,-0.187634483,1.496409291,-0.061182582,-1.227944829,-1.257100105
2018,1,23,12,-0.211241613,0.194613787,1.373252424,2.209807109,0.333704788,0.319698334
2017,1,10,8,-0.936168708,-0.532590239,1.496409291,0.263244517,0.921922843,0.338668346
2020,2,20,2,-1.378197425,-1.287763651,0.264840625,-0.385609681,-0.702113537,-0.890287876
2014,8,3,13,1.627597849,1.25745044,-1.089884908,-0.385609681,0.318850797,1.773967743
2014,1,24,13,-1.83790729,-1.977675163,-0.535679008,2.534234207,1.880500414,1.421779156
2016,6,28,5,0.663975246,0.819263399,0.326419058,0.15510215,-0.307987635,-0.906824112
2014,1,7,19,-2.377182324,-2.369246562,0.018526892,2.858661306,2.347906006,1.926513672
2016,2,27,6,-1.024574451,-0.989423538,0.018526892,-0.385609681,-0.676366619,-0.26981163
2014,7,27,2,1.097163389,1.341358597,0.572732791,0.263244517,-1.313107712,-0.920103073
2019,12,17,11,-0.883125262,-0.830930353,0.080105325,-0.710036779,0.738723617,0.365361691
2016,10,31,2,-0.679792052,-0.346127668,1.126938691,-1.25074861,-5.73563605,-1.487054825
2014,3,10,11,-0.432255971,-0.355450797,0.141683758,-0.277467314,0.724859892,0.300437927
2017,10,1,0,-0.131676444,-0.001171912,0.264840625,-0.818179146,-1.807250489,-1.314693451
2018,3,7,16,-0.57370516,-0.224926997,1.188517124,-1.034463878,0.694161643,0.547168255
2015,9,19,5,0.858467882,1.220157926,1.003781825,-0.601894413,-1.096239439,-0.692966461
2015,5,16,12,1.238612578,0.931140942,-0.966728041,0.912098714,-0.457517814,0.536358356
2015,5,10,4,0.778902713,1.248127312,1.434830858,-0.926321512,-1.582460087,-1.179219246
2017,12,14,23,-1.731820398,-1.54881125,0.634311225,-0.061182582,-0.035664462,-0.08585453
2016,10,8,0,0.778902713,1.015049098,0.572732791,-1.467033343,-1.479472415,-1.192750454
2018,8,23,17,1.477308085,0.716708985,-1.828826108,1.344668179,1.230885862,0.954093933
2020,1,8,21,-1.501965465,-1.660688793,-0.597257442,1.128383446,0.759519205,0.653000355
2013,7,4,10,1.220931429,1.714283739,1.434830858,-0.926321512,1.707203849,1.083719254
2016,10,17,19,0.929192476,1.32271234,1.126938691,-0.493752047,0.518884546,0.42205286
2015,8,23,14,1.34469947,1.136249769,-0.720414308,0.263244517,0.33568532,1.115204334
2016,11,17,18,0.000932171,0.325137586,1.003781825,-0.493752047,0.634745678,0.15628624
2017,5,5,6,-0.175879315,0.334460715,1.804301458,-0.061182582,-0.28917258,-0.676116943
2014,5,6,18,0.354555145,-0.374097054,-1.890404541,0.046959784,0.071284276,-0.102472782
2014,6,13,11,1.061801091,1.164219155,0.141683758,-0.601894413,1.108092867,0.551060677
2017,7,22,5,1.114844537,1.108280384,-0.166208408,-1.358890977,-1.103171302,-0.307435036
2018,11,16,16,-0.662110904,-0.392743311,0.880624958,1.236525813,0.757538673,0.513669014
2019,12,7,2,-1.059936749,-1.017392923,0.080105325,0.263244517,-0.930865003,-1.137310028
2016,12,1,5,-0.30848793,-0.168988226,0.326419058,1.993522376,-1.076434118,-0.905897141
2013,7,19,2,1.539192105,1.83548441,0.695889658,0.479529249,0.787246655,0.18715477
2015,4,1,21,-0.662110904,-0.858899738,-0.720414308,-0.926321512,0.115846249,0.008677483
2017,2,21,21,-0.432255971,-0.047787555,1.311673991,-1.358890977,0.240619776,0.118037701
2017,5,4,16,-0.158198167,0.297168201,1.557987724,0.15510215,0.253493235,0.341980934
2017,3,20,23,-0.388053099,-0.168988226,0.634311225,-0.710036779,-0.840750789,-0.980700016
2015,8,3,22,1.035279368,0.87520217,-0.597257442,0.15510215,-0.34462748,-0.203798771
2018,9,30,13,0.301511699,0.278521944,-0.166208408,-1.034463878,-0.620911718,-0.151214123
2014,9,25,17,0.938033051,0.800617142,-0.535679008,-0.493752047,0.643658073,0.444952011
2016,12,12,20,-0.794719519,-0.635144653,0.449575925,0.587671615,1.100170738,0.614050865
2014,9,10,4,0.849627307,1.32271234,1.434830858,-1.25074861,-1.014047354,-1.021686077
2016,9,15,9,0.584410077,0.698062728,0.203262191,-0.818179146,0.316870265,-0.105581284
2017,2,2,7,-1.192545364,-1.23182488,-0.227786842,-0.169324948,0.523835877,0.099302292
2015,12,27,8,-0.609067458,-0.215603869,1.373252424,0.263244517,-1.12396689,-0.076163769
2013,6,10,18,0.717018692,1.220157926,1.557987724,1.236525813,0.585232374,0.374564171
2018,4,12,6,-0.697473201,-0.290188897,1.434830858,-1.034463878,0.071284276,-0.501598358
2017,6,15,17,0.858467882,1.033695355,0.387997491,-0.385609681,0.396091552,0.13782692
2015,8,15,17,1.760206464,1.574436811,-0.658835875,-0.493752047,1.669573738,2.309827328
2015,5,8,15,1.309337173,1.024372227,-0.905149608,0.15510215,0.74565548,0.762098312
2019,9,14,5,0.708178118,0.996402841,0.757468091,-1.142606244,-1.486404277,-0.984762669
2017,3,8,3,-0.51182114,-0.523267111,-0.166208408,-0.061182582,-1.267555472,-1.352291107
2013,6,29,13,1.203250281,1.248127312,-0.043051542,-1.25074861,0.218833922,1.038770199
2017,4,7,13,-0.547183437,-0.681760296,-0.535679008,4.048227334,0.272308291,0.280763626
2014,4,11,9,0.098178489,-0.299512026,-1.213041775,-1.358890977,0.319841063,-0.193483353
